Age,Gender,Relationship,Occasion,Budget,MaxBudget,Gift,Rating,Link,Image Link,Interest
30,Female,Wife,Anniversery,500,5000,BigBasket E-Gift Card - Flat 2% off - Redeemable online,4.5,https://www.amazon.in/dp/B07C8Y15V5/ref=cm_gf_aaac_d_p0_e0_qd0_qLi1hyR2kcJvX9KIipJM,https://m.media-amazon.com/images/I/414-x5boCwL._AC_SY164_.jpg,Shopping
25,Female,Sister,Birthday,500,10000,AJIO E-Gift Card - Redeemable on AJIO website & App - Flat 6% cash back upto INR.600,4.6,https://www.amazon.in/dp/B0B97VTH58/ref=cm_gf_aaac_d_p0_e0_qd0_nDUe3PNpYCnILIjecVPQ,https://m.media-amazon.com/images/I/41SR1aKy5QL._AC_SY164_.jpg,Shopping
8,Female,Daughter,Baby & Expecting,1500,2000,ApolloPharmacy FApollo Pharmacy E-Gift Card,4.4,https://www.amazon.in/dp/B086MZN582/ref=cm_gf_aaac_d_p0_e0_qd0_sZY2tPBMkWYxMPdmRlb8,https://m.media-amazon.com/images/I/41D5brGGcsL._AC_SY164_.jpg,Health
29,Female,Sister,Diwali,100,10000,Myntra E-Gift Card - Flat 5% off - Redeemable Online,4.6,https://www.amazon.in/dp/B0B46K5TP2/ref=cm_gf_aaac_d_p0_e0_qd0_qI1pSDR8a0BOKweUMG9q,https://m.media-amazon.com/images/I/41ivYwRqnyL._AC_SY164_.jpg,Shopping
21,Male,Brother,Birthday,500,2500,Decathlon Omni Flat 3% off at checkout E-Gift Card,4.6,https://www.amazon.in/dp/B099SRQBNS/ref=cm_gf_aaac_d_p0_e0_qd0_4SclQL4LLTf4fAMDm0lg,https://m.media-amazon.com/images/I/51ukgkR7zML._AC_   SY164_.jpg,Sports
40,Male,Father,Birthday,500,2500,Decathlon Omni Flat 3% off at checkout E-Gift Card,4.6,https://www.amazon.in/dp/B099SRQBNS/ref=cm_gf_aaac_d_p0_e0_qd0_4SclQL4LLTf4fAMDm0lg,https://m.media-amazon.com/images/I/51ukgkR7zML._AC_SY164_.jpg,Sports
15,Male,Son,Birthday,500,2500,Decathlon Omni Flat 3% off at checkout E-Gift Card,4.6,https://www.amazon.in/dp/B099SRQBNS/ref=cm_gf_aaac_d_p0_e0_qd0_4SclQL4LLTf4fAMDm0lg,https://m.media-amazon.com/images/I/51ukgkR7zML._AC_SY164_.jpg,Sports
15,Female,Daughter,Birthday,500,2500,Decathlon Omni Flat 3% off at checkout E-Gift Card,4.6,https://www.amazon.in/dp/B099SRQBNS/ref=cm_gf_aaac_d_p0_e0_qd0_4SclQL4LLTf4fAMDm0lg,https://m.media-amazon.com/images/I/51ukgkR7zML._AC_SY164_.jpg,Sports
30,Female,Mother,Birthday,500,2500,Decathlon Omni Flat 3% off at checkout E-Gift Card,4.6,https://www.amazon.in/dp/B099SRQBNS/ref=cm_gf_aaac_d_p0_e0_qd0_4SclQL4LLTf4fAMDm0lg,https://m.media-amazon.com/images/I/51ukgkR7zML._AC_SY164_.jpg,Sports
30,Female,Mother,Mother's Day,500,2500,Decathlon Omni Flat 3% off at checkout E-Gift Card,4.6,https://www.amazon.in/dp/B099SRQBNS/ref=cm_gf_aaac_d_p0_e0_qd0_4SclQL4LLTf4fAMDm0lg,https://m.media-amazon.com/images/I/51ukgkR7zML._AC_SY164_.jpg,Sports
30,Female,Sister,Birthday,500,2500,Decathlon Omni Flat 3% off at checkout E-Gift Card,4.6,https://www.amazon.in/dp/B099SRQBNS/ref=cm_gf_aaac_d_p0_e0_qd0_4SclQL4LLTf4fAMDm0lg,https://m.media-amazon.com/images/I/51ukgkR7zML._AC_SY164_.jpg,Sports
30,Female,For Her,Birthday,500,2500,Decathlon Omni Flat 3% off at checkout E-Gift Card,4.6,https://www.amazon.in/dp/B099SRQBNS/ref=cm_gf_aaac_d_p0_e0_qd0_4SclQL4LLTf4fAMDm0lg,https://m.media-amazon.com/images/I/51ukgkR7zML._AC_SY164_.jpg,Sports
